DETAILS
================
Computername............: My_Windows_Computer
Operatingsystem.........: Microsoft Windows XP Service Pack 2
OS Product ID...........: 12345-640-1234567-23746
OS Registered Org.......: Example Company
OS Registered owner.....: Example Owner
Open-SIS Timestamp......: Mon 25 Sep 2006 12:03:34 
Open-SIS Scriptverion...: 0.0.3
==SOFTWARE===================
Windows Driver Package - Nokia Modem  (04/06/2006 6.8.0.17)|04/06/2006 6.8.0.17|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\010D072E91408D6B7C6FC65489B6D30C027605F5
Security Update for Windows XP (KB908531)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB908531
Security Update for Windows XP (KB911280)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB911280
Security Update for Windows XP (KB911562)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB911562
Security Update for Windows Media Player (KB911564)|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB911564
Security Update for Windows Media Player 10 (KB911565)|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB911565
Security Update for Windows XP (KB911927)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB911927
Security Update for Windows XP (KB912812)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB912812
Security Update for Windows XP (KB912919)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB912919
Security Update for Windows XP (KB913446)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB913446
Security Update for Windows XP (KB913580)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB913580
Security Update for Windows XP (KB914388)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB914388
Security Update for Windows XP (KB914389)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB914389
Security Update for Windows XP (KB916281)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB916281
Security Update for Windows XP (KB917159)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB917159
Security Update for Windows XP (KB917344)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB917344
Security Update for Windows XP (KB917422)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB917422
Update for Windows XP (KB917425)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB917425
Security Update for Windows Media Player 10 (KB917734)|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB917734_WMP10
Security Update for Windows XP (KB917953)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB917953
Security Update for Windows XP (KB918439)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB918439
Security Update for Windows XP (KB918899)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB918899
Security Update for Windows XP (KB920214)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB920214
Security Update for Windows XP (KB920670)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB920670
Security Update for Windows XP (KB920683)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB920683
Security Update for Windows XP (KB921398)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB921398
Security Update for Windows XP (KB921883)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB921883
Security Update for Windows XP (KB922616)|1|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\KB922616
IBM USB (Travel) Keyboard with UltraNav|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\LTON_HISUSBKeyboardUltraNav
Microsoft .NET Framework 1.1 Hotfix (KB886903)|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\M886903
M886904|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\M886904
McAfee Anti-Spyware Enterprise Module|8.0.0.989|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\McAfee Anti-Spyware Enterprise Module
Microsoft .NET Framework 1.1|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft .NET Framework 1.1  (1033)
Microsoft .NET Framework 2.0|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft .NET Framework 2.0
Microsoft Device Emulator version 1.0 - ENU|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft Device Emulator version 1.0 - ENU
Microsoft Document Explorer 2005|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft Document Explorer 2005
Microsoft SQL Server 2000|8.00.194|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft SQL Server 2000
Microsoft Visual J# 2.0 Redistributable Package|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft Visual J# 2.0 Redistributable Package
Microsoft Visual Studio 2005 Team Suite - ENU|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft Visual Studio 2005 Team Suite - ENU
Microsoft Visual Studio 2005 Tools for Office Runtime|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft Visual Studio 2005 Tools for Office Runtime
MobileOptionPack|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\MobileOptionPack
Mozilla Thunderbird (1.5)|1.5 (nl)|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Mozilla Thunderbird (1.5)
MPlayer2|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\MPlayer2
MSI30-Beta1|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\MSI30-Beta1
MSI30-Beta2|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\MSI30-Beta2
MSI30-KB884016|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\MSI30-KB884016
MSI30-RC1|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\MSI30-RC1
MSI30-RC2|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\MSI30-RC2
MSI30a-KB884016|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\MSI30a-KB884016
MSI31-Beta|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\MSI31-Beta
MSI31-RC1|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\MSI31-RC1
MsJavaVM|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\MsJavaVM
NetMeeting|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\NetMeeting
OnDemand Player Shortcut|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OnDemand Player Shortcut
OutlookExpress|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\OutlookExpress
PCHealth|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\PCHealth
PE Explorer 1.98 R3|1.98.3|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\PE Explorer_is1
PL/SQL Developer|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\PL/SQL Developer [80687277]
IBM ThinkPad Battery MaxiMiser and Power Management Features|1.38|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Power Features
ThinkPad Power Management Driver|1.32|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Power Management Driver
ThinkPad Presentation Director|2.40b|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Presentation Director
XP Hotfix (SP1) [See Q282784 for more information]|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Q282784
RealJukebox 1.0|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\RealJukebox 1.0
RealPlayer|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\RealPlayer 6.0
SchedulingAgent|not-defined|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\SchedulingAgent
Macromedia Flash Player 8|8|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\ShockwaveFlash
ThinkPad UltraNav Driver|7.5.17.18|SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\SynTPDeinstKey
